,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Date_interval,HTGS,ATGS,HTGC,ATGC,HTGD,ATGD,HTP,ATP,PtDiff
59,2005-09-24,Everton,Wigan,0,1,A,2005-09-24,0,2,3,3,-3,-1,0,3,-3
60,2005-09-24,Man United,Blackburn,1,2,A,2005-09-24,1,2,2,2,-1,0,0,3,-3
61,2005-09-24,Newcastle,Man City,1,0,H,2005-09-24,4,0,0,0,4,0,3,0,3
62,2005-09-24,West Brom,Charlton,1,2,A,2005-09-24,1,2,2,2,-1,0,0,3,-3
63,2005-09-24,West Ham,Arsenal,0,0,D,2005-09-24,0,2,0,0,0,2,1,1,0
64,2005-09-25,Middlesbrough,Sunderland,0,2,A,2005-10-01,0,3,2,2,-2,1,0,3,-3
65,2005-09-26,Tottenham,Fulham,1,0,H,2005-10-01,4,2,2,2,2,0,3,0,3
66,2005-10-01,Blackburn,West Brom,2,0,H,2005-10-01,2,0,0,0,2,0,3,0,3
67,2005-10-01,Charlton,Tottenham,2,3,A,2005-10-01,2,4,3,3,-1,1,0,3,-3
68,2005-10-01,Fulham,Man United,2,3,A,2005-10-01,2,3,4,4,-2,-1,0,3,-3
69,2005-10-01,Portsmouth,Newcastle,0,0,D,2005-10-01,0,0,0,0,0,0,1,1,0
70,2005-10-01,Sunderland,West Ham,1,1,D,2005-10-01,3,1,1,1,2,0,1,1,0
71,2005-10-02,Arsenal,Birmingham,1,0,H,2005-10-08,1,0,0,0,1,0,3,0,3
72,2005-10-02,Aston Villa,Middlesbrough,2,3,A,2005-10-08,2,3,3,3,-1,0,0,3,-3
73,2005-10-02,Liverpool,Chelsea,1,4,A,2005-10-08,1,4,4,4,-3,0,0,3,-3
74,2005-10-02,Man City,Everton,2,0,H,2005-10-08,2,0,0,0,2,0,3,0,3
75,2005-10-02,Wigan,Bolton,2,1,H,2005-10-08,2,1,1,1,1,0,3,0,3
76,2005-10-15,Chelsea,Bolton,5,1,H,2005-10-15,5,1,1,1,4,0,3,0,3
77,2005-10-15,Liverpool,Blackburn,1,0,H,2005-10-15,1,0,0,0,1,0,3,0,3
78,2005-10-15,Middlesbrough,Portsmouth,1,1,D,2005-10-15,1,1,1,1,0,0,1,1,0
79,2005-10-15,Sunderland,Man United,1,3,A,2005-10-15,1,3,3,3,-2,0,0,3,-3
80,2005-10-15,Tottenham,Everton,2,0,H,2005-10-15,2,0,0,0,2,0,3,0,3
81,2005-10-15,West Brom,Arsenal,2,1,H,2005-10-15,2,1,1,1,1,0,3,0,3
82,2005-10-15,Wigan,Newcastle,1,0,H,2005-10-15,1,0,0,0,1,0,3,0,3
83,2005-10-16,Birmingham,Aston Villa,0,1,A,2005-10-22,0,1,3,3,-3,-2,0,3,-3
84,2005-10-16,Man City,West Ham,2,1,H,2005-10-22,2,1,2,2,0,-1,3,0,3
85,2005-10-17,Charlton,Fulham,1,1,D,2005-10-22,3,3,2,2,1,1,1,1,0
86,2005-10-22,Arsenal,Man City,1,0,H,2005-10-22,1,2,0,0,1,2,3,0,3
87,2005-10-22,Aston Villa,Wigan,0,2,A,2005-10-22,1,2,2,2,-1,0,0,3,-3
88,2005-10-22,Blackburn,Birmingham,2,0,H,2005-10-22,2,0,0,0,2,0,3,0,3
89,2005-10-22,Fulham,Liverpool,2,0,H,2005-10-22,3,0,1,1,2,-1,3,0,3
