,Season,Date,Date_interval,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTGS,ATGS,HTGC,ATGC,HTGD,ATGD,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HTP,ATP,PtDiff,HTGSCum,ATGSCum,HTGCCum,ATGCCum,HTGDCum,ATGDCum,HTPCum,ATPCum,HSCum,ASCum,HSTCum,ASTCum,HFCum,AFCum,HCCum,ACCum,HYCum,AYCum,HRCum,ARCum,PtDiffCum,HStreak,AStreak,HPrevPos,APrevPos,oddsH,oddsD,oddsA
12,2005/2006,2005-08-20,2005-08-20,Charlton,Wigan,1,0,H,1,0,0,2,1,-2,21,4,10,0,10,11,4,4,0,1,0,0,3,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.7666666666666666,3.233333333333333,4.376666666666666
13,2005/2006,2005-08-20,2005-08-20,Liverpool,Sunderland,1,0,H,1,0,0,1,1,-1,15,2,6,0,8,20,5,5,2,3,0,1,3,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.3033333333333335,4.5,8.833333333333334
14,2005/2006,2005-08-20,2005-08-20,Man United,Aston Villa,1,0,H,1,0,0,1,1,-1,18,3,12,3,13,21,11,7,2,1,0,0,3,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.2466666666666666,4.933333333333334,10.5
15,2005/2006,2005-08-20,2005-08-20,Newcastle,West Ham,0,0,D,0,0,2,0,-2,0,14,6,6,1,9,11,10,2,1,1,0,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.6199999999999999,3.4666666666666663,5.05
16,2005/2006,2005-08-20,2005-08-20,Tottenham,Middlesbrough,2,0,H,2,0,0,2,2,-2,18,12,8,3,16,10,5,6,3,1,0,0,3,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.8999999999999997,3.1666666666666665,3.8333333333333335
17,2005/2006,2005-08-20,2005-08-20,West Brom,Portsmouth,2,1,H,2,1,1,2,1,-1,6,10,2,2,21,19,3,3,4,3,0,0,3,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,2.1833333333333336,3.0666666666666664,3.15
18,2005/2006,2005-08-21,2005-08-27,Bolton,Everton,0,1,A,4,1,2,1,2,0,16,3,6,1,10,13,8,3,0,1,0,0,3,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,2.1,3.1333333333333333,3.266666666666667
19,2005/2006,2005-08-21,2005-08-27,Chelsea,Arsenal,1,0,H,7,4,0,2,7,2,9,9,6,3,17,21,3,7,2,3,0,0,6,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.8999999999999997,3.1666666666666665,3.9166666666666665
20,2005/2006,2005-08-23,2005-08-27,Birmingham,Middlesbrough,0,3,A,3,3,5,0,-2,3,14,8,8,3,14,15,2,2,0,1,0,0,0,3,-3,1.0,0.0,2.0,2.0,-1.0,-2.0,0.0,0.0,9.0,12.0,2.0,3.0,7.0,10.0,9.0,6.0,3.0,1.0,0.0,0.0,-3.0,-1,-1,0.0,0.0,2.35,3.1333333333333333,2.7833333333333337
21,2005/2006,2005-08-23,2005-08-27,Portsmouth,Aston Villa,1,1,D,2,2,3,1,-1,1,20,7,11,3,12,10,13,4,3,1,0,1,1,1,0,1.0,2.0,4.0,3.0,-2.0,-1.0,0.0,0.0,11.0,3.0,7.0,3.0,13.0,21.0,7.0,7.0,0.0,1.0,0.0,0.0,-3.0,-1,-1,0.0,0.0,2.4,3.15,2.7000000000000006
22,2005/2006,2005-08-23,2005-08-27,Sunderland,Man City,1,2,A,1,4,3,2,-2,2,15,12,10,7,10,10,5,3,1,2,0,0,0,3,-3,1.0,2.0,4.0,1.0,-2.0,1.0,0.0,3.0,12.0,9.0,8.0,6.0,15.0,12.0,5.0,4.0,2.0,1.0,0.0,0.0,-3.0,-1,1,0.0,0.0,2.5833333333333335,3.15,2.5166666666666666
23,2005/2006,2005-08-24,2005-08-27,Arsenal,Fulham,4,1,H,4,2,2,4,2,-2,20,8,14,3,16,11,6,7,5,2,0,0,3,0,3,2.0,1.0,0.0,2.0,2.0,-1.0,3.0,0.0,15.0,8.0,12.0,4.0,15.0,14.0,8.0,1.0,0.0,2.0,0.0,0.0,3.0,1,-1,0.0,0.0,1.24,5.0,10.666666666666666
24,2005/2006,2005-08-24,2005-08-27,Blackburn,Tottenham,0,0,D,0,0,1,2,-1,-2,11,1,7,1,15,12,7,0,2,2,1,0,1,1,0,3.0,4.0,4.0,0.0,1.0,2.0,3.0,3.0,16.0,11.0,9.0,6.0,26.0,23.0,8.0,2.0,2.0,2.0,0.0,0.0,3.0,1,1,0.0,0.0,2.706666666666667,3.15,2.4
25,2005/2006,2005-08-24,2005-08-27,Bolton,Newcastle,2,0,H,4,0,2,2,2,-2,14,7,6,4,12,17,4,3,0,1,0,0,3,0,3,2.0,0.0,2.0,2.0,2.0,-2.0,3.0,0.0,16.0,2.0,6.0,1.0,10.0,17.0,8.0,3.0,0.0,1.0,0.0,1.0,0.0,0,-1,0.0,0.0,2.1333333333333333,3.1999999999999997,3.116666666666667
26,2005/2006,2005-08-24,2005-08-27,Chelsea,West Brom,4,0,H,7,2,0,7,7,-5,11,0,8,0,10,7,9,1,0,1,0,0,6,0,6,1.0,2.0,0.0,1.0,7.0,0.0,6.0,1.0,9.0,13.0,6.0,3.0,17.0,11.0,3.0,6.0,2.0,3.0,0.0,0.0,6.0,0,0,0.0,0.0,1.1733333333333331,5.666666666666667,14.333333333333334
27,2005/2006,2005-08-27,2005-08-27,Aston Villa,Blackburn,1,0,H,2,0,1,1,1,-1,10,9,3,2,13,16,4,11,2,2,0,0,3,0,3,2.0,3.0,3.0,4.0,0.0,-2.0,1.0,0.0,3.0,11.0,2.0,5.0,14.0,14.0,7.0,6.0,0.0,1.0,0.0,1.0,0.0,0,-1,0.0,0.0,2.0,3.216666666666667,3.4166666666666665
28,2005/2006,2005-08-27,2005-08-27,Fulham,Everton,1,0,H,2,1,4,1,-2,0,9,6,4,2,19,25,6,2,1,2,0,1,3,3,0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,3.0,15.0,3.0,7.0,1.0,12.0,13.0,6.0,3.0,1.0,1.0,0.0,0.0,0.0,0,0,0.0,0.0,2.3833333333333333,3.1333333333333333,2.733333333333333
29,2005/2006,2005-08-27,2005-08-27,Man City,Portsmouth,2,1,H,4,2,2,3,2,-1,16,7,9,2,13,17,12,3,1,2,0,0,3,0,3,2.0,1.0,1.0,4.0,0.0,-1.0,1.0,0.0,15.0,10.0,8.0,2.0,13.0,19.0,3.0,3.0,2.0,3.0,0.0,0.0,0.0,0,-1,0.0,0.0,1.6366666666666667,3.4,5.033333333333333
30,2005/2006,2005-08-27,2005-08-27,Tottenham,Chelsea,0,2,A,0,7,2,0,-2,7,11,13,6,7,16,12,2,5,3,2,1,0,0,3,-3,4.0,1.0,0.0,0.0,2.0,1.0,3.0,3.0,18.0,20.0,8.0,9.0,16.0,7.0,5.0,6.0,3.0,0.0,0.0,0.0,3.0,1,1,0.0,0.0,4.11,3.216666666666667,1.8099999999999998
31,2005/2006,2005-08-27,2005-08-27,West Brom,Birmingham,2,3,A,2,3,7,5,-5,-2,15,8,8,7,11,24,3,2,1,3,0,0,0,3,-3,2.0,1.0,1.0,2.0,1.0,0.0,3.0,1.0,6.0,7.0,2.0,4.0,21.0,13.0,3.0,6.0,4.0,2.0,0.0,0.0,3.0,1,0,0.0,0.0,2.3066666666666666,3.0833333333333335,2.8833333333333333
32,2005/2006,2005-08-27,2005-08-27,West Ham,Bolton,1,2,A,1,4,2,2,-1,2,13,10,6,6,13,16,7,7,1,4,0,0,0,3,-3,3.0,2.0,1.0,2.0,2.0,0.0,3.0,1.0,13.0,13.0,5.0,6.0,11.0,16.0,2.0,8.0,0.0,2.0,0.0,0.0,3.0,1,0,0.0,0.0,2.4333333333333336,3.1333333333333333,2.6833333333333336
33,2005/2006,2005-08-27,2005-08-27,Wigan,Sunderland,1,0,H,1,1,0,3,1,-2,11,9,5,7,11,13,0,6,3,3,0,0,3,0,3,0.0,1.0,2.0,4.0,-2.0,-1.0,0.0,0.0,12.0,2.0,5.0,0.0,14.0,20.0,2.0,5.0,1.0,3.0,0.0,1.0,-3.0,-1,-1,0.0,0.0,2.0500000000000003,3.1999999999999997,3.3166666666666664
34,2005/2006,2005-08-28,2005-09-03,Middlesbrough,Charlton,0,3,A,0,3,3,0,-3,3,10,12,6,8,18,15,6,1,2,1,0,0,0,3,-3,3.0,4.0,2.0,1.0,0.0,2.0,1.0,3.0,4.0,14.0,2.0,4.0,17.0,17.0,5.0,5.0,2.0,0.0,1.0,1.0,0.0,0,1,0.0,0.0,1.8933333333333333,3.233333333333333,3.81
35,2005/2006,2005-08-28,2005-09-03,Newcastle,Man United,0,2,A,0,2,2,0,-2,2,9,11,4,5,26,16,5,3,1,2,0,0,0,3,-3,0.0,3.0,4.0,0.0,-2.0,2.0,1.0,3.0,14.0,12.0,6.0,5.0,9.0,14.0,10.0,6.0,1.0,1.0,0.0,0.0,0.0,0,1,0.0,0.0,4.733333333333333,3.3833333333333333,1.67
36,2005/2006,2005-09-10,2005-09-10,Birmingham,Charlton,0,1,A,0,1,1,0,-1,1,18,8,5,4,9,10,13,4,0,2,0,0,0,3,-3,2.0,3.5,3.5,0.5,-1.5,2.5,0.0,3.0,11.5,13.0,5.0,6.0,10.5,16.0,5.5,3.0,1.5,0.5,0.0,0.5,-3.0,-2,2,0.0,0.0,2.3233333333333333,3.15,2.7900000000000005
37,2005/2006,2005-09-10,2005-09-10,Chelsea,Sunderland,2,0,H,2,0,0,2,2,-2,9,2,6,2,14,10,4,2,1,0,0,0,3,0,3,4.0,1.0,0.0,3.5,7.0,-1.5,6.0,0.0,10.0,5.5,7.0,3.5,13.5,16.5,6.0,5.5,1.0,3.0,0.0,0.5,6.0,2,-2,0.0,0.0,1.1366666666666667,6.666666666666667,15.0
