,Season,Date,Date_interval,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTGS,ATGS,HTGC,ATGC,HTGD,ATGD,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HTP,ATP,PtDiff,HTGSCum,ATGSCum,HTGCCum,ATGCCum,HTGDCum,ATGDCum,HTPCum,ATPCum,HSCum,ASCum,HSTCum,ASTCum,HFCum,AFCum,HCCum,ACCum,HYCum,AYCum,HRCum,ARCum,PtDiffCum,HStreak,AStreak,HPrevPos,APrevPos,oddsH,oddsD,oddsA
465,2006/2007,2006-10-22,2006-10-28,Man United,Liverpool,2,0,H,6,3,0,3,6,0,10,13,8,5,14,21,5,5,1,3,0,0,3,0,3,4.25,2.25,1.25,2.25,2.5,-0.25,2.25,0.25,16.5,13.75,8.0,6.0,10.5,14.5,7.0,9.0,1.5,2.0,0.0,0.0,1.5,1,-3,41.0,39.0,1.8833333333333335,3.1666666666666665,3.966666666666667
466,2006/2007,2006-10-22,2006-10-28,Middlesbrough,Newcastle,1,0,H,1,0,0,1,1,-1,19,13,8,4,17,13,8,4,2,0,0,0,3,0,3,2.0,1.75,3.25,3.0,-0.75,-1.0,1.5,1.5,12.5,9.5,5.75,5.75,14.0,12.25,6.75,4.5,1.5,2.25,0.0,0.0,0.0,1,-2,29.0,35.0,2.3,3.0666666666666664,2.9566666666666666
467,2006/2007,2006-10-22,2006-10-28,Reading,Arsenal,0,4,A,1,5,7,1,-6,4,3,16,1,9,6,6,10,2,0,0,0,0,0,3,-3,2.25,3.6666666666666665,2.0,1.3333333333333333,0.5,1.3333333333333333,1.75,2.0,8.5,17.333333333333332,4.25,8.333333333333334,9.0,9.0,6.0,6.666666666666667,1.0,2.3333333333333335,0.25,0.0,0.75,-1,2,0.0,38.0,5.7,3.6,1.5533333333333335
468,2006/2007,2006-10-22,2006-10-28,Tottenham,West Ham,1,0,H,1,0,0,1,1,-1,13,5,5,2,14,15,9,9,3,4,0,0,3,0,3,1.25,1.5,2.5,3.0,-0.5,-2.0,2.5,0.5,14.75,6.5,8.25,2.5,8.25,11.0,7.75,3.0,0.75,1.0,0.0,0.0,1.25,1,-3,37.0,33.0,1.75,3.3166666666666664,4.433333333333334
469,2006/2007,2006-10-28,2006-10-28,Arsenal,Everton,1,1,D,5,1,1,1,4,0,26,2,12,2,6,21,16,3,2,3,0,0,1,1,0,2.75,3.75,1.0,2.0,1.75,0.75,2.0,2.25,17.0,10.0,10.25,4.75,8.0,14.75,12.0,6.0,1.0,2.0,0.0,0.5,1.5,2,-1,38.0,32.0,1.3733333333333333,4.083333333333333,8.0
470,2006/2007,2006-10-28,2006-10-28,Bolton,Man United,0,4,A,1,6,4,0,-3,6,8,15,3,10,18,11,7,2,2,2,0,0,0,3,-3,2.25,4.25,1.0,1.25,1.5,4.25,2.5,4.0,8.0,17.5,3.5,8.5,13.5,10.75,5.5,7.25,1.25,1.0,0.0,0.0,2.25,1,1,34.0,41.0,3.9766666666666666,3.233333333333333,1.86
471,2006/2007,2006-10-28,2006-10-28,Fulham,Wigan,0,1,A,0,1,1,0,-1,1,4,15,1,7,11,12,5,4,1,2,0,0,0,3,-3,2.75,2.75,3.5,2.75,-1.75,-0.75,2.75,0.25,9.75,11.5,4.75,6.75,13.5,16.25,4.5,6.5,1.5,3.0,0.0,0.0,1.75,1,-1,28.0,31.0,1.9666666666666668,3.216666666666667,3.5999999999999996
472,2006/2007,2006-10-28,2006-10-28,Liverpool,Aston Villa,3,1,H,3,1,3,3,0,-2,19,7,6,5,11,17,8,4,0,1,0,0,3,0,3,2.25,2.75,2.25,1.5,2.25,0.0,4.0,1.5,18.25,8.25,8.5,4.5,11.25,13.0,7.0,3.0,1.0,1.5,0.0,0.0,2.75,0,0,39.0,25.0,1.5599999999999998,3.5500000000000003,5.733333333333333
473,2006/2007,2006-10-28,2006-10-28,Newcastle,Charlton,0,0,D,0,0,1,0,-1,0,20,8,10,4,12,9,10,3,1,1,0,0,1,1,0,1.75,1.5,3.0,3.75,-0.25,-1.5,1.0,0.0,13.75,6.25,7.75,2.5,16.5,11.75,5.0,3.25,1.75,1.75,0.25,0.25,-0.75,-1,-7,35.0,30.0,1.75,3.2999999999999994,4.5
474,2006/2007,2006-10-28,2006-10-28,Portsmouth,Reading,3,1,H,3,1,1,7,2,-6,18,8,12,4,18,6,5,13,0,0,0,0,3,0,3,3.25,2.25,1.25,2.0,1.25,-0.25,2.25,1.5,15.25,5.0,8.5,2.25,15.5,8.25,6.75,7.25,2.0,1.5,0.0,0.25,1.5,1,2,26.0,0.0,1.8,3.25,4.233333333333333
475,2006/2007,2006-10-28,2006-10-28,Sheffield United,Chelsea,0,2,A,0,2,2,0,-2,2,6,10,2,7,15,12,8,7,2,0,0,0,0,3,-3,1.0,3.75,3.0,1.25,0.0,2.0,1.25,2.25,11.5,10.5,6.5,5.5,10.5,9.5,6.25,4.5,1.5,1.5,0.0,0.25,0.0,1,3,0.0,40.0,9.666666666666666,4.433333333333334,1.31
476,2006/2007,2006-10-28,2006-10-28,Watford,Tottenham,0,0,D,0,1,0,0,0,1,9,11,2,8,14,14,7,7,3,1,0,0,1,1,0,1.75,1.25,3.25,2.5,-0.5,-1.5,1.0,0.25,10.0,8.25,5.0,4.0,17.0,14.75,4.75,2.25,0.75,1.0,0.0,0.25,-1.5,0,0,0.0,37.0,3.35,3.1999999999999997,2.0666666666666664
477,2006/2007,2006-10-29,2006-11-04,West Ham,Blackburn,2,1,H,2,1,1,2,1,-1,9,13,5,7,16,10,5,8,1,1,0,0,3,0,3,1.5,2.25,3.25,2.75,-0.75,0.0,1.0,1.25,11.5,9.75,5.25,4.5,12.0,15.0,6.0,4.0,2.75,2.25,0.0,0.5,-1.0,-2,0,33.0,36.0,2.3333333333333335,3.15,2.8666666666666667
478,2006/2007,2006-10-30,2006-11-04,Man City,Middlesbrough,1,0,H,1,0,1,3,0,-3,14,4,5,0,16,22,9,1,2,4,0,0,3,0,3,1.5,2.25,3.25,3.25,-1.0,-0.5,3.0,0.5,11.75,7.25,5.0,3.75,14.25,15.75,4.25,2.5,0.75,3.25,0.0,0.25,2.5,0,-1,27.0,29.0,2.256666666666667,3.1166666666666667,3.016666666666667
479,2006/2007,2006-11-04,2006-11-04,Bolton,Wigan,0,1,A,0,1,1,0,-1,1,13,9,5,3,15,14,5,3,1,2,0,0,0,3,-3,2.0,2.4,1.6,2.2,0.6,-0.4,2.0,0.8,8.0,12.2,3.4,6.8,14.4,15.4,5.8,6.0,1.4,2.8,0.0,0.0,1.2,-1,1,34.0,31.0,1.7833333333333332,3.2999999999999994,4.3
480,2006/2007,2006-11-04,2006-11-04,Charlton,Man City,1,0,H,1,1,0,1,1,0,18,15,11,9,10,9,5,12,1,2,0,0,3,0,3,1.2,1.2,3.0,2.6,-1.0,-1.4,1.4,0.2,12.2,11.0,5.2,5.4,12.6,14.4,6.4,3.6,1.6,2.6,0.2,0.4,-1.4,0,-1,30.0,27.0,2.3,3.1166666666666667,2.9166666666666665
481,2006/2007,2006-11-04,2006-11-04,Fulham,Everton,1,0,H,1,0,0,1,1,-1,5,5,3,3,8,17,4,10,0,1,0,0,3,0,3,2.2,3.2,3.0,1.8,-1.6,0.6,2.2,2.0,8.6,8.4,4.0,4.2,13.0,16.0,4.6,5.4,1.4,2.2,0.0,0.4,0.8,-1,0,28.0,32.0,2.6,3.1166666666666667,2.566666666666667
482,2006/2007,2006-11-04,2006-11-04,Liverpool,Reading,2,0,H,2,0,0,2,2,-2,21,5,10,2,8,14,9,6,0,2,0,0,3,0,3,2.4,2.0,2.4,3.0,1.8,-1.4,3.8,1.2,18.4,5.6,8.0,2.6,11.2,7.8,7.2,8.4,0.8,1.2,0.0,0.2,2.8,1,-1,39.0,0.0,1.3500000000000003,4.3,8.1
483,2006/2007,2006-11-04,2006-11-04,Man United,Portsmouth,3,0,H,3,0,0,3,3,-3,18,8,11,5,6,9,9,5,0,1,0,0,3,0,3,4.6,3.2,1.0,1.2,3.2,0.6,2.4,1.4,15.2,8.8,8.0,4.0,11.2,10.8,6.6,5.0,1.4,1.2,0.0,0.0,1.8,2,-2,41.0,26.0,1.31,4.6499999999999995,8.466666666666667
484,2006/2007,2006-11-04,2006-11-04,Newcastle,Sheffield United,0,1,A,0,1,1,0,-1,1,11,12,3,6,16,12,7,0,3,2,0,0,0,3,-3,1.4,0.8,2.6,2.8,-0.4,-2.2,1.0,0.2,15.0,7.4,8.2,3.0,15.6,11.4,6.0,3.6,1.6,1.4,0.2,0.2,-0.6,0,-1,35.0,0.0,1.7066666666666668,3.35,4.766666666666667
485,2006/2007,2006-11-04,2006-11-04,Watford,Middlesbrough,2,0,H,2,0,0,3,2,-3,14,5,6,2,15,15,10,4,1,1,0,0,3,0,3,1.4,1.8,2.6,2.6,-0.4,-1.0,1.0,0.4,9.8,6.6,4.4,3.0,16.4,17.0,5.2,2.2,1.2,3.4,0.0,0.2,-1.2,0,-1,0.0,29.0,2.5,3.033333333333333,2.75
486,2006/2007,2006-11-05,2006-11-11,Aston Villa,Blackburn,2,0,H,3,0,0,3,3,-3,8,5,5,3,15,13,4,3,1,3,0,0,3,0,3,2.4,2.0,1.8,2.6,1.0,-0.2,2.2,1.0,9.4,10.4,5.0,5.0,11.6,14.0,2.8,4.8,0.8,2.0,0.0,0.4,1.8,0,-1,25.0,36.0,1.9333333333333333,3.1833333333333336,3.766666666666667
487,2006/2007,2006-11-05,2006-11-11,Tottenham,Chelsea,2,1,H,2,5,1,2,1,3,8,17,3,10,15,15,7,10,3,5,0,1,3,0,3,1.2,3.4,2.0,1.0,-0.2,2.0,2.6,2.4,14.4,10.4,7.6,5.8,9.4,10.0,8.0,5.0,1.2,1.2,0.0,0.2,1.6,2,4,37.0,40.0,4.766666666666667,3.4,1.6900000000000002
488,2006/2007,2006-11-05,2006-11-11,West Ham,Arsenal,1,0,H,1,0,1,1,0,-1,11,11,5,5,11,8,8,3,3,2,0,0,3,0,3,1.6,4.0,2.8,1.25,-0.4,2.0,1.4,2.25,11.0,17.0,5.2,8.5,12.8,8.25,5.8,5.5,2.4,1.75,0.0,0.0,-0.2,1,3,33.0,38.0,5.366666666666667,3.5833333333333335,1.5866666666666667
489,2006/2007,2006-11-11,2006-11-11,Blackburn,Man United,0,1,A,0,1,3,0,-3,1,9,14,4,7,17,8,6,4,4,3,0,0,0,3,-3,2.0,5.2,2.6,1.0,0.2,4.6,1.4,3.8,13.8,17.0,6.4,8.8,14.2,10.8,5.6,6.2,2.8,1.2,0.0,0.0,-0.6,-1,2,36.0,41.0,5.266666666666667,3.533333333333333,1.6033333333333335
490,2006/2007,2006-11-11,2006-11-11,Chelsea,Watford,4,0,H,5,0,2,4,3,-4,14,2,8,1,13,14,9,4,1,1,0,0,3,0,3,3.4,1.8,1.0,2.6,1.4,-1.0,2.6,0.4,15.4,10.8,8.2,4.8,10.2,14.8,5.6,5.6,1.8,1.2,0.2,0.0,2.4,1,0,40.0,0.0,1.1333333333333333,6.666666666666667,16.666666666666668
491,2006/2007,2006-11-11,2006-11-11,Everton,Aston Villa,0,1,A,0,3,1,0,-1,3,10,17,4,9,16,19,6,2,2,3,0,0,0,3,-3,3.2,2.4,2.0,1.8,1.2,-0.4,2.2,1.2,11.0,8.0,6.4,4.6,15.0,13.8,3.6,3.2,1.2,1.4,0.0,0.0,1.8,1,-1,32.0,25.0,2.0666666666666664,3.15,3.4
492,2006/2007,2006-11-11,2006-11-11,Man City,Newcastle,0,0,D,0,0,0,0,0,0,15,8,8,3,18,11,6,5,1,3,0,0,1,1,0,1.4,1.4,2.8,2.8,-0.8,-1.0,3.0,1.2,12.2,10.2,5.0,5.4,14.6,12.4,5.2,4.4,1.0,1.8,0.0,0.0,2.6,1,-3,27.0,35.0,2.066666666666667,3.1833333333333336,3.35
493,2006/2007,2006-11-11,2006-11-11,Middlesbrough,West Ham,1,0,H,1,1,0,1,1,0,11,11,8,7,7,10,7,1,1,3,0,0,3,0,3,1.8,1.6,3.2,2.8,-0.4,-1.8,1.8,0.4,13.8,6.2,6.2,2.4,14.6,11.8,7.0,4.2,1.6,1.6,0.0,0.0,0.6,2,-4,29.0,33.0,2.15,3.1666666666666665,3.1833333333333336
494,2006/2007,2006-11-11,2006-11-11,Portsmouth,Fulham,1,1,D,1,1,1,1,0,0,23,7,12,4,11,7,19,5,0,3,0,0,1,1,0,3.2,2.4,1.8,3.0,1.4,-0.6,2.4,1.2,15.8,8.4,9.2,4.2,16.0,15.4,6.4,2.8,1.6,1.8,0.0,0.0,1.8,2,0,26.0,28.0,1.8266666666666669,3.266666666666667,4.093333333333334
495,2006/2007,2006-11-11,2006-11-11,Sheffield United,Bolton,2,2,D,2,2,2,2,0,0,8,6,4,4,5,6,4,5,1,1,0,0,1,1,0,1.0,2.0,2.8,1.8,-0.4,-0.6,1.0,2.2,10.4,6.0,5.6,3.6,11.4,15.4,6.6,4.8,1.6,2.6,0.0,0.4,-0.6,-1,3,0.0,34.0,2.8333333333333335,3.15,2.356666666666667
496,2006/2007,2006-11-11,2006-11-11,Wigan,Charlton,3,2,H,3,2,2,3,1,-1,8,7,5,4,18,11,2,3,2,0,0,0,3,0,3,3.25,1.4,2.75,3.0,0.75,-1.2,1.75,0.2,10.25,6.6,4.0,2.8,12.0,11.2,3.25,3.2,1.25,1.6,0.0,0.2,0.75,1,0,31.0,30.0,1.8666666666666665,3.233333333333333,3.9166666666666665
497,2006/2007,2006-11-12,2006-11-18,Arsenal,Liverpool,3,0,H,4,0,1,3,3,-3,7,10,7,4,7,12,2,6,2,3,0,0,4,1,3,3.2,2.8,1.2,2.4,2.2,-0.2,1.8,0.2,18.8,13.6,10.6,5.8,7.6,15.8,12.8,8.2,1.2,2.2,0.0,0.0,1.2,0,-4,38.0,39.0,1.9833333333333334,3.1833333333333336,3.5833333333333335
498,2006/2007,2006-11-12,2006-11-18,Reading,Tottenham,3,1,H,5,1,1,3,4,-2,8,9,4,3,14,7,7,2,1,1,0,0,6,0,6,2.0,1.6,3.4,2.2,-0.8,-1.0,1.4,0.4,7.4,8.8,3.6,4.8,8.4,14.6,6.8,3.2,0.8,1.0,0.2,0.2,0.0,-2,0,0.0,37.0,2.9500000000000006,3.15,2.2666666666666666
499,2006/2007,2006-11-18,2006-11-18,Arsenal,Newcastle,1,1,D,4,1,1,1,3,0,23,2,10,1,10,9,11,1,2,5,0,0,4,1,3,2.6666666666666665,1.1666666666666667,1.0,2.3333333333333335,2.3333333333333335,-0.8333333333333334,2.1666666666666665,1.1666666666666667,16.833333333333332,9.833333333333334,10.0,5.0,7.5,12.166666666666666,11.0,4.5,1.3333333333333333,2.0,0.0,0.0,1.5,0,0,38.0,35.0,1.2733333333333332,4.783333333333333,10.133333333333333
500,2006/2007,2006-11-18,2006-11-18,Chelsea,West Ham,1,0,H,1,0,0,1,1,-1,19,7,9,1,10,8,5,6,1,4,0,0,3,0,3,3.6666666666666665,1.5,1.1666666666666667,2.5,1.6666666666666667,-1.5,2.6666666666666665,0.3333333333333333,15.166666666666666,7.0,8.166666666666666,3.1666666666666665,10.666666666666666,11.5,6.166666666666667,3.6666666666666665,1.6666666666666667,1.8333333333333333,0.16666666666666666,0.0,2.5,2,-5,40.0,33.0,1.2,5.583333333333333,12.333333333333334
501,2006/2007,2006-11-18,2006-11-18,Everton,Bolton,1,0,H,1,0,0,1,1,-1,9,13,2,2,18,14,5,8,3,0,0,0,3,0,3,2.6666666666666665,2.0,1.8333333333333333,1.8333333333333333,0.8333333333333334,-0.5,1.8333333333333333,2.0,10.833333333333334,6.0,6.0,3.6666666666666665,15.166666666666666,13.833333333333334,4.0,4.833333333333333,1.3333333333333333,2.3333333333333335,0.0,0.3333333333333333,1.0,-1,0,32.0,34.0,2.2333333333333334,3.15,3.0400000000000005
502,2006/2007,2006-11-18,2006-11-18,Man City,Fulham,3,1,H,3,1,1,3,2,-2,15,7,7,2,22,12,5,0,1,1,0,0,3,0,3,1.1666666666666667,2.1666666666666665,2.3333333333333335,2.6666666666666665,-0.6666666666666666,-0.5,2.6666666666666665,1.1666666666666667,12.666666666666666,8.166666666666666,5.5,4.166666666666667,15.166666666666666,14.0,5.333333333333333,3.1666666666666665,1.0,2.0,0.0,0.0,2.1666666666666665,0,0,27.0,28.0,2.1333333333333333,3.1166666666666667,3.283333333333333
503,2006/2007,2006-11-18,2006-11-18,Middlesbrough,Liverpool,0,0,D,0,0,0,3,0,-3,1,17,1,10,14,3,2,12,0,0,0,0,1,1,0,1.6666666666666667,2.3333333333333335,2.6666666666666665,2.0,-0.16666666666666666,-0.6666666666666666,2.0,0.3333333333333333,13.333333333333334,13.0,6.5,5.5,13.333333333333334,15.166666666666666,7.0,7.833333333333333,1.5,2.3333333333333335,0.0,0.0,1.0,3,-4,29.0,39.0,3.4500000000000006,3.1833333333333336,2.033333333333333
504,2006/2007,2006-11-18,2006-11-18,Portsmouth,Watford,2,1,H,2,1,1,2,1,-1,17,8,11,4,14,18,9,5,1,3,0,0,3,0,3,2.8333333333333335,1.5,1.6666666666666667,2.8333333333333335,1.1666666666666667,-1.5,2.1666666666666665,0.3333333333333333,17.0,9.333333333333334,9.666666666666666,4.166666666666667,15.166666666666666,14.666666666666666,8.5,5.333333333333333,1.3333333333333333,1.1666666666666667,0.0,0.0,1.5,0,-1,26.0,0.0,1.5866666666666667,3.5666666666666664,5.3999999999999995
505,2006/2007,2006-11-18,2006-11-18,Reading,Charlton,2,0,H,5,0,1,2,4,-2,11,4,4,2,6,11,4,9,0,3,0,0,6,0,6,1.6666666666666667,1.5,2.8333333333333335,3.0,0.0,-1.1666666666666667,2.1666666666666665,0.16666666666666666,7.5,6.666666666666667,3.6666666666666665,3.0,9.333333333333334,11.166666666666666,6.833333333333333,3.1666666666666665,0.8333333333333334,1.3333333333333333,0.16666666666666666,0.16666666666666666,1.0,-2,-1,0.0,30.0,1.8833333333333335,3.233333333333333,3.85
506,2006/2007,2006-11-18,2006-11-18,Sheffield United,Man United,1,2,A,1,2,2,1,-1,1,5,22,3,15,19,10,0,14,1,1,0,0,0,3,-3,1.1666666666666667,4.5,2.6666666666666665,0.8333333333333334,-0.3333333333333333,4.0,1.0,3.6666666666666665,10.0,16.5,5.333333333333333,8.5,10.333333333333334,10.333333333333334,6.166666666666667,5.833333333333333,1.5,1.5,0.0,0.0,-0.5,0,3,0.0,41.0,7.966666666666666,4.343333333333334,1.3533333333333335
507,2006/2007,2006-11-19,2006-11-25,Blackburn,Tottenham,1,1,D,1,1,1,1,0,0,6,13,3,5,17,16,4,5,0,1,1,1,1,1,0,1.6666666666666667,1.5,2.6666666666666665,2.3333333333333335,-0.3333333333333333,-1.1666666666666667,1.1666666666666667,0.3333333333333333,13.0,8.833333333333334,6.0,4.5,14.666666666666666,13.333333333333334,5.666666666666667,3.0,3.0,1.0,0.0,0.16666666666666666,-1.0,-2,-1,36.0,37.0,2.45,3.1166666666666667,2.74
508,2006/2007,2006-11-19,2006-11-25,Wigan,Aston Villa,0,0,D,0,1,0,1,0,0,14,7,5,3,6,11,6,6,1,0,0,0,1,1,0,3.2,2.5,2.6,1.5,0.8,0.16666666666666666,2.0,1.5,9.8,9.5,4.2,5.333333333333333,13.2,14.666666666666666,3.0,3.0,1.4,1.6666666666666667,0.0,0.0,1.2,2,1,31.0,25.0,2.4066666666666667,3.15,2.75
509,2006/2007,2006-11-25,2006-11-25,Aston Villa,Middlesbrough,1,1,D,1,1,1,1,0,0,11,9,4,4,18,11,9,4,1,3,0,0,1,1,0,2.5,1.6666666666666667,1.5,2.6666666666666665,1.3333333333333333,-1.3333333333333333,2.3333333333333335,0.3333333333333333,9.166666666666666,6.333333333333333,5.0,2.8333333333333335,12.166666666666666,16.666666666666668,3.0,2.5,0.8333333333333334,3.0,0.0,0.16666666666666666,2.0,1,-3,25.0,29.0,1.7833333333333332,3.266666666666667,4.3
510,2006/2007,2006-11-25,2006-11-25,Bolton,Arsenal,3,1,H,3,1,1,3,2,-2,10,14,8,7,11,8,7,11,3,4,0,0,3,0,3,2.0,4.0,2.0,1.4,0.3333333333333333,1.4,1.6666666666666667,1.8,8.833333333333334,15.8,3.6666666666666665,7.8,14.5,8.2,5.666666666666667,5.0,1.3333333333333333,1.8,0.0,0.0,0.5,-2,-1,34.0,38.0,3.5833333333333335,3.216666666666667,1.9666666666666668
511,2006/2007,2006-11-25,2006-11-25,Charlton,Everton,1,1,D,1,1,1,1,0,0,16,9,8,6,16,13,6,7,2,0,0,0,1,1,0,1.5,2.8333333333333335,3.3333333333333335,1.8333333333333333,-0.6666666666666666,0.3333333333333333,1.6666666666666667,1.6666666666666667,13.166666666666666,7.833333333333333,6.166666666666667,4.0,12.166666666666666,16.166666666666668,6.166666666666667,6.166666666666667,1.5,2.0,0.16666666666666666,0.3333333333333333,-0.6666666666666666,1,-1,30.0,32.0,2.6166666666666667,3.1666666666666665,2.5166666666666666
512,2006/2007,2006-11-25,2006-11-25,Fulham,Reading,0,1,A,0,1,1,0,-1,1,10,8,4,2,6,14,4,3,0,3,1,0,0,3,-3,2.3333333333333335,2.5,3.1666666666666665,3.0,-1.1666666666666667,-1.5,2.3333333333333335,1.0,8.0,5.5,3.8333333333333335,2.5,12.166666666666666,8.833333333333334,4.5,8.0,1.1666666666666667,1.3333333333333333,0.0,0.16666666666666666,1.1666666666666667,1,-2,28.0,0.0,2.1,3.1166666666666667,3.3333333333333335
513,2006/2007,2006-11-25,2006-11-25,Liverpool,Man City,1,0,H,1,0,0,1,1,-1,12,6,6,2,9,20,8,2,2,1,0,0,3,0,3,2.3333333333333335,1.6666666666666667,2.5,2.5,1.8333333333333333,-1.1666666666666667,3.6666666666666665,0.16666666666666666,18.833333333333332,11.666666666666666,8.333333333333334,6.0,10.666666666666666,13.5,7.5,5.0,0.6666666666666666,2.5,0.0,0.3333333333333333,2.8333333333333335,2,-2,39.0,27.0,1.4133333333333333,4.016666666666667,7.166666666666667
514,2006/2007,2006-11-25,2006-11-25,West Ham,Sheffield United,1,0,H,1,0,0,1,1,-1,12,13,7,5,16,22,5,9,2,4,0,0,3,0,3,1.5,1.3333333333333333,2.6666666666666665,3.0,-0.3333333333333333,-1.6666666666666667,1.6666666666666667,0.6666666666666666,11.0,8.166666666666666,5.166666666666667,3.5,12.5,11.5,6.166666666666667,3.0,2.5,1.5,0.0,0.16666666666666666,0.3333333333333333,2,1,33.0,0.0,1.8,3.283333333333333,4.216666666666666
515,2006/2007,2006-11-26,2006-12-02,Man United,Chelsea,1,1,D,6,2,2,1,4,1,8,13,5,7,16,12,3,2,1,3,0,0,4,4,0,4.833333333333333,3.8333333333333335,1.0,1.1666666666666667,3.1666666666666665,2.1666666666666665,2.5,2.0,15.666666666666666,11.5,8.5,6.5,10.333333333333334,10.833333333333334,7.0,5.833333333333333,1.1666666666666667,1.8333333333333333,0.0,0.3333333333333333,2.0,3,-1,41.0,40.0,2.4333333333333336,3.0833333333333335,2.783333333333333
516,2006/2007,2006-11-26,2006-12-02,Newcastle,Portsmouth,1,0,H,1,2,0,3,1,-1,13,7,10,2,13,12,10,3,2,2,0,0,3,1,2,1.3333333333333333,3.1666666666666665,2.5,1.8333333333333333,-0.5,0.0,0.8333333333333334,1.1666666666666667,14.333333333333334,8.666666666666666,7.333333333333333,4.166666666666667,15.666666666666666,10.5,6.166666666666667,5.0,1.8333333333333333,1.1666666666666667,0.16666666666666666,0.0,-1.0,-1,-3,35.0,26.0,2.2333333333333334,3.1166666666666667,3.0500000000000003
517,2006/2007,2006-11-26,2006-12-02,Tottenham,Wigan,3,1,H,3,1,4,7,-1,-6,11,10,6,5,12,17,3,2,2,4,0,0,3,0,3,1.6666666666666667,2.6666666666666665,2.5,2.1666666666666665,0.0,-0.16666666666666666,2.6666666666666665,1.1666666666666667,13.333333333333334,11.666666666666666,6.833333333333333,6.166666666666667,10.333333333333334,15.166666666666666,7.833333333333333,5.5,1.5,2.6666666666666665,0.0,0.0,1.8333333333333333,3,2,37.0,31.0,1.75,3.3333333333333335,4.3999999999999995
518,2006/2007,2006-11-28,2006-12-02,Watford,Sheffield United,0,1,A,0,3,1,1,-1,2,9,17,6,7,20,10,6,1,3,1,1,0,0,3,-3,1.6666666666666667,1.1428571428571428,3.1666666666666665,2.7142857142857144,0.0,-1.5714285714285714,1.3333333333333333,0.5714285714285714,10.5,8.857142857142858,4.666666666666667,3.7142857142857144,16.166666666666668,13.0,6.0,3.857142857142857,1.1666666666666667,1.8571428571428572,0.0,0.14285714285714285,-0.5,1,-1,0.0,0.0,2.2,3.0833333333333335,3.15
519,2006/2007,2006-11-29,2006-12-02,Aston Villa,Man City,1,3,A,3,3,5,1,-2,2,6,11,4,8,15,11,1,5,1,0,0,0,0,3,-3,2.2857142857142856,1.4285714285714286,1.4285714285714286,2.2857142857142856,1.1428571428571428,-1.1428571428571428,2.142857142857143,0.14285714285714285,9.428571428571429,10.857142857142858,4.857142857142857,5.428571428571429,13.0,14.428571428571429,3.857142857142857,4.571428571428571,0.8571428571428571,2.2857142857142856,0.0,0.2857142857142857,1.7142857142857142,0,-3,25.0,27.0,1.8099999999999998,3.25,4.176666666666667
520,2006/2007,2006-11-29,2006-12-02,Bolton,Chelsea,0,1,A,0,2,2,1,-2,1,9,16,3,10,13,13,3,5,3,1,0,0,0,4,-4,2.142857142857143,3.2857142857142856,1.8571428571428572,1.0,0.5714285714285714,2.0,1.8571428571428572,2.2857142857142856,9.0,11.714285714285714,4.285714285714286,6.571428571428571,14.0,11.0,5.857142857142857,5.285714285714286,1.5714285714285714,2.0,0.0,0.2857142857142857,0.8571428571428571,1,-1,34.0,40.0,5.133333333333334,3.533333333333333,1.6199999999999999
521,2006/2007,2006-11-29,2006-12-02,Fulham,Arsenal,2,1,H,2,4,3,2,-1,2,13,7,7,2,17,15,6,6,4,5,0,1,3,0,3,2.0,3.5,2.857142857142857,1.6666666666666667,-1.1428571428571428,0.8333333333333334,2.0,1.5,8.285714285714286,15.5,3.857142857142857,7.666666666666667,11.285714285714286,8.166666666666666,4.428571428571429,6.0,1.0,2.1666666666666665,0.14285714285714285,0.0,0.5714285714285714,-1,-2,28.0,38.0,5.333333333333333,3.5,1.6066666666666667
522,2006/2007,2006-11-29,2006-12-02,Liverpool,Portsmouth,0,0,D,4,2,0,3,4,-1,15,3,4,1,13,13,5,1,1,3,0,0,1,1,0,2.142857142857143,2.7142857142857144,2.142857142857143,1.5714285714285714,1.7142857142857142,-0.14285714285714285,3.5714285714285716,1.1428571428571428,17.857142857142858,8.428571428571429,8.0,3.857142857142857,10.428571428571429,10.714285714285714,7.571428571428571,4.714285714285714,0.8571428571428571,1.2857142857142858,0.0,0.0,2.857142857142857,3,-3,39.0,26.0,1.4299999999999997,3.9166666666666665,7.0
523,2006/2007,2006-11-29,2006-12-02,Man United,Everton,3,0,H,6,0,2,3,4,-3,18,7,6,4,15,15,3,2,1,1,0,0,4,0,4,4.142857142857143,2.5714285714285716,0.8571428571428571,1.7142857142857142,3.2857142857142856,0.2857142857142857,2.7142857142857144,1.5714285714285714,14.571428571428571,8.0,8.0,4.285714285714286,11.142857142857142,15.714285714285714,6.428571428571429,6.285714285714286,1.1428571428571428,1.7142857142857142,0.0,0.2857142857142857,1.7142857142857142,3,0,41.0,32.0,1.3099999999999998,4.55,8.799999999999999
