,Season,Date,Date_interval,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTGS,ATGS,HTGC,ATGC,HTGD,ATGD,HTP,ATP,PtDiff,HTGSCum,ATGSCum,HTGCCum,ATGCCum,HTGDCum,ATGDCum,HTPCum,ATPCum,PtDiffCum,HStreak,AStreak,oddsH,oddsD,oddsA
24,2005/2006,2005-08-24,2005-08-27,Blackburn,Tottenham,0,0,D,0,0,1,2,-1,-2,1,1,0,3.0,4.0,4.0,0.0,1.0,2.0,3.0,3.0,3.0,1,1,2.706666666666667,3.15,2.4
25,2005/2006,2005-08-24,2005-08-27,Bolton,Newcastle,2,0,H,4,0,2,2,2,-2,3,0,3,2.0,0.0,2.0,2.0,2.0,-2.0,3.0,0.0,0.0,0,-1,2.1333333333333333,3.1999999999999997,3.116666666666667
26,2005/2006,2005-08-24,2005-08-27,Chelsea,West Brom,4,0,H,7,2,0,7,7,-5,6,0,6,1.0,2.0,0.0,1.0,7.0,0.0,6.0,1.0,6.0,0,0,1.1733333333333331,5.666666666666667,14.333333333333334
27,2005/2006,2005-08-27,2005-08-27,Aston Villa,Blackburn,1,0,H,2,0,1,1,1,-1,3,0,3,2.0,3.0,3.0,4.0,0.0,-2.0,1.0,0.0,0.0,0,-1,2.0,3.216666666666667,3.4166666666666665
28,2005/2006,2005-08-27,2005-08-27,Fulham,Everton,1,0,H,2,1,4,1,-2,0,3,3,0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,3.0,0.0,0,0,2.3833333333333333,3.1333333333333333,2.733333333333333
29,2005/2006,2005-08-27,2005-08-27,Man City,Portsmouth,2,1,H,4,2,2,3,2,-1,3,0,3,2.0,1.0,1.0,4.0,0.0,-1.0,1.0,0.0,0.0,0,-1,1.6366666666666667,3.4,5.033333333333333
30,2005/2006,2005-08-27,2005-08-27,Tottenham,Chelsea,0,2,A,0,7,2,0,-2,7,0,3,-3,4.0,1.0,0.0,0.0,2.0,1.0,3.0,3.0,3.0,1,1,4.11,3.216666666666667,1.8099999999999998
31,2005/2006,2005-08-27,2005-08-27,West Brom,Birmingham,2,3,A,2,3,7,5,-5,-2,0,3,-3,2.0,1.0,1.0,2.0,1.0,0.0,3.0,1.0,3.0,1,0,2.3066666666666666,3.0833333333333335,2.8833333333333333
32,2005/2006,2005-08-27,2005-08-27,West Ham,Bolton,1,2,A,1,4,2,2,-1,2,0,3,-3,3.0,2.0,1.0,2.0,2.0,0.0,3.0,1.0,3.0,1,0,2.4333333333333336,3.1333333333333333,2.6833333333333336
33,2005/2006,2005-08-27,2005-08-27,Wigan,Sunderland,1,0,H,1,1,0,3,1,-2,3,0,3,0.0,1.0,2.0,4.0,-2.0,-1.0,0.0,0.0,-3.0,-1,-1,2.0500000000000003,3.1999999999999997,3.3166666666666664
34,2005/2006,2005-08-28,2005-09-03,Middlesbrough,Charlton,0,3,A,0,3,3,0,-3,3,0,3,-3,3.0,4.0,2.0,1.0,0.0,2.0,1.0,3.0,0.0,0,1,1.8933333333333333,3.233333333333333,3.81
35,2005/2006,2005-08-28,2005-09-03,Newcastle,Man United,0,2,A,0,2,2,0,-2,2,0,3,-3,0.0,3.0,4.0,0.0,-2.0,2.0,1.0,3.0,0.0,0,1,4.733333333333333,3.3833333333333333,1.67
36,2005/2006,2005-09-10,2005-09-10,Birmingham,Charlton,0,1,A,0,1,1,0,-1,1,0,3,-3,4.0,7.0,7.0,1.0,-3.0,5.0,0.0,6.0,-6.0,-2,2,2.3233333333333333,3.15,2.7900000000000005
37,2005/2006,2005-09-10,2005-09-10,Chelsea,Sunderland,2,0,H,2,0,0,2,2,-2,3,0,3,8.0,2.0,0.0,7.0,14.0,-3.0,12.0,0.0,12.0,2,-2,1.1366666666666667,6.666666666666667,15.0
38,2005/2006,2005-09-10,2005-09-10,Everton,Portsmouth,0,1,A,0,1,1,0,-1,1,0,3,-3,1.0,3.0,3.0,7.0,-2.0,-2.0,0.0,0.0,-3.0,-1,-2,1.6900000000000002,3.3333333333333335,4.65
39,2005/2006,2005-09-10,2005-09-10,Man United,Man City,1,1,D,1,1,1,1,0,0,1,1,0,5.0,6.0,0.0,3.0,1.0,3.0,3.0,6.0,3.0,1,2,1.3833333333333335,4.05,7.75
40,2005/2006,2005-09-10,2005-09-10,Middlesbrough,Arsenal,2,1,H,2,1,1,2,1,-1,3,0,3,3.0,6.0,5.0,2.0,-3.0,2.0,1.0,0.0,-3.0,-1,-1,4.466666666666667,3.266666666666667,1.74
41,2005/2006,2005-09-10,2005-09-10,Newcastle,Fulham,1,1,D,1,1,1,1,0,0,1,1,0,0.0,3.0,6.0,6.0,-4.0,-3.0,1.0,0.0,-3.0,-1,-2,1.6366666666666667,3.35,5.183333333333334
42,2005/2006,2005-09-10,2005-09-10,Tottenham,Liverpool,0,0,D,0,0,0,0,0,0,1,1,0,4.0,1.0,2.0,0.0,0.0,0.0,3.0,1.0,0.0,-1,0,2.433333333333333,3.1333333333333333,2.6666666666666665
43,2005/2006,2005-09-10,2005-09-10,West Brom,Wigan,1,2,A,1,2,2,1,-1,1,0,3,-3,4.0,1.0,8.0,2.0,-4.0,-2.0,3.0,0.0,0.0,-1,-1,2.066666666666667,3.1666666666666665,3.3333333333333335
44,2005/2006,2005-09-11,2005-09-17,Bolton,Blackburn,0,0,D,0,0,0,0,0,0,1,1,0,6.0,3.0,4.0,5.0,4.0,-3.0,6.0,0.0,3.0,1,-2,1.8666666666666665,3.15,3.983333333333333
45,2005/2006,2005-09-12,2005-09-17,West Ham,Aston Villa,4,0,H,6,1,1,5,5,-4,3,0,3,4.0,4.0,3.0,4.0,1.0,0.0,3.0,1.0,0.0,-1,0,2.3666666666666667,3.1333333333333333,2.75
46,2005/2006,2005-09-17,2005-09-17,Aston Villa,Tottenham,1,1,D,1,1,5,1,-4,0,1,1,0,4.0,4.0,4.0,2.0,1.0,0.0,4.0,4.0,3.0,1,0,2.4333333333333336,3.15,2.6666666666666665
47,2005/2006,2005-09-17,2005-09-17,Charlton,Chelsea,0,2,A,0,2,2,0,-2,2,0,3,-3,8.0,10.0,1.0,0.0,1.0,8.0,3.0,6.0,3.0,1,2,5.366666666666667,3.533333333333333,1.5733333333333335
48,2005/2006,2005-09-17,2005-09-17,Fulham,West Ham,1,2,A,1,6,2,1,-1,5,0,3,-3,4.0,4.0,7.0,3.0,-2.0,0.0,4.0,1.0,0.0,1,0,2.1166666666666667,3.1166666666666667,3.216666666666667
49,2005/2006,2005-09-17,2005-09-17,Portsmouth,Birmingham,1,1,D,1,1,1,1,0,0,1,1,0,4.0,4.0,7.0,8.0,-3.0,-2.0,1.0,4.0,-3.0,0,1,2.283333333333333,3.15,2.866666666666667
50,2005/2006,2005-09-17,2005-09-17,Sunderland,West Brom,1,1,D,1,1,1,1,0,0,1,1,0,2.0,5.0,9.0,10.0,-4.0,-5.0,0.0,1.0,-6.0,-2,-1,2.273333333333333,3.15,2.883333333333333
51,2005/2006,2005-09-18,2005-09-24,Blackburn,Newcastle,0,3,A,2,4,4,0,-2,4,0,3,-3,3.0,1.0,5.0,7.0,0.0,-4.0,4.0,0.0,3.0,0,-2,2.333333333333333,3.15,2.766666666666667
52,2005/2006,2005-09-18,2005-09-24,Liverpool,Man United,0,0,D,2,1,2,2,0,-1,1,1,0,1.0,6.0,0.0,1.0,1.0,4.0,3.0,6.0,3.0,1,2,2.6999999999999997,3.1,2.4499999999999997
53,2005/2006,2005-09-18,2005-09-24,Man City,Bolton,0,1,A,0,2,2,0,-2,2,0,3,-3,7.0,6.0,4.0,4.0,2.0,2.0,4.0,4.0,3.0,1,1,2.033333333333333,3.216666666666667,3.3166666666666664
54,2005/2006,2005-09-18,2005-09-24,Wigan,Middlesbrough,1,1,D,2,1,1,1,1,0,1,1,0,3.0,5.0,3.0,6.0,-1.0,1.0,3.0,3.0,0.0,1,1,2.6333333333333333,3.1,2.5
55,2005/2006,2005-09-19,2005-09-24,Arsenal,Everton,2,0,H,2,0,0,3,2,-3,3,0,3,7.0,1.0,4.0,4.0,4.0,0.0,6.0,6.0,6.0,2,-1,1.3666666666666665,4.233333333333333,7.666666666666667
56,2005/2006,2005-09-24,2005-09-24,Birmingham,Liverpool,2,2,D,2,2,2,2,0,0,1,1,0,5.0,1.0,9.0,0.0,-4.0,0.0,0.0,2.0,-9.0,-3,0,3.216666666666667,3.1833333333333336,2.1
57,2005/2006,2005-09-24,2005-09-24,Bolton,Portsmouth,1,0,H,2,0,0,1,2,-1,3,0,3,6.0,5.0,4.0,8.0,4.0,-1.0,7.0,3.0,3.0,0,1,1.6900000000000002,3.383333333333333,4.716666666666667
58,2005/2006,2005-09-24,2005-09-24,Chelsea,Aston Villa,2,1,H,2,1,1,2,1,-1,3,0,3,12.0,5.0,0.0,9.0,16.0,-4.0,15.0,1.0,15.0,3,-1,1.23,5.1000000000000005,11.166666666666666
59,2005/2006,2005-09-24,2005-09-24,Everton,Wigan,0,1,A,0,2,3,1,-3,1,0,3,-3,1.0,3.0,4.0,3.0,-3.0,-1.0,0.0,3.0,-6.0,-2,1,1.8500000000000003,3.25,3.8666666666666667
60,2005/2006,2005-09-24,2005-09-24,Man United,Blackburn,1,2,A,1,2,2,4,-1,-2,0,3,-3,6.0,3.0,1.0,5.0,1.0,-3.0,4.0,1.0,3.0,0,0,1.2933333333333332,4.443333333333333,10.166666666666666
61,2005/2006,2005-09-24,2005-09-24,Newcastle,Man City,1,0,H,4,0,0,2,4,-2,3,0,3,1.0,7.0,7.0,4.0,-4.0,3.0,2.0,7.0,-3.0,0,0,2.033333333333333,3.216666666666667,3.3166666666666664
62,2005/2006,2005-09-24,2005-09-24,West Brom,Charlton,1,2,A,1,2,2,1,-1,1,0,3,-3,6.0,8.0,11.0,3.0,-5.0,6.0,3.0,9.0,-3.0,-2,3,2.6833333333333336,3.1333333333333333,2.4333333333333336
63,2005/2006,2005-09-24,2005-09-24,West Ham,Arsenal,0,0,D,0,2,0,0,0,2,1,1,0,10.0,7.0,4.0,4.0,6.0,1.0,6.0,0.0,3.0,1,-2,4.683333333333334,3.35,1.6900000000000002
64,2005/2006,2005-09-25,2005-10-01,Middlesbrough,Sunderland,0,2,A,0,3,2,1,-2,2,0,3,-3,6.0,3.0,7.0,10.0,-2.0,-5.0,4.0,0.0,0.0,1,-3,1.5566666666666666,3.533333333333333,5.633333333333333
65,2005/2006,2005-09-26,2005-10-01,Tottenham,Fulham,1,0,H,4,2,2,4,2,-2,3,0,3,5.0,5.0,3.0,9.0,0.0,-3.0,4.0,1.0,0.0,0,0,1.6199999999999999,3.4166666666666665,5.183333333333334
66,2005/2006,2005-10-01,2005-10-01,Blackburn,West Brom,2,0,H,2,0,0,2,2,-2,3,0,3,5.0,7.0,9.0,13.0,-2.0,-5.0,4.0,2.0,0.0,-1,0,1.8166666666666667,3.266666666666666,4.033333333333333
67,2005/2006,2005-10-01,2005-10-01,Charlton,Tottenham,2,3,A,2,4,3,2,-1,2,0,3,-3,10.0,5.0,4.0,3.0,-1.0,0.0,3.0,5.0,0.0,-1,0,2.4,3.1333333333333333,2.783333333333333
68,2005/2006,2005-10-01,2005-10-01,Fulham,Man United,2,3,A,2,3,4,2,-2,1,0,3,-3,5.0,7.0,9.0,3.0,-3.0,3.0,4.0,7.0,-3.0,-1,0,4.916666666666667,3.4500000000000006,1.6533333333333333
69,2005/2006,2005-10-01,2005-10-01,Portsmouth,Newcastle,0,0,D,0,0,0,0,0,0,1,1,0,5.0,5.0,9.0,7.0,-3.0,0.0,2.0,3.0,-3.0,0,1,2.733333333333333,3.15,2.3666666666666667
70,2005/2006,2005-10-01,2005-10-01,Sunderland,West Ham,1,1,D,3,1,1,1,2,0,1,1,0,3.0,10.0,10.0,4.0,-4.0,5.0,1.0,4.0,-6.0,0,1,2.4333333333333336,3.1166666666666667,2.6833333333333336
71,2005/2006,2005-10-02,2005-10-08,Arsenal,Birmingham,1,0,H,1,0,0,1,1,-1,3,0,3,9.0,7.0,4.0,11.0,6.0,-2.0,9.0,5.0,9.0,3,0,1.3266666666666667,4.433333333333334,8.166666666666666
72,2005/2006,2005-10-02,2005-10-08,Aston Villa,Middlesbrough,2,3,A,2,3,3,2,-1,1,0,3,-3,6.0,6.0,11.0,9.0,-3.0,1.0,5.0,4.0,3.0,0,0,2.15,3.1666666666666665,3.183333333333333
